date sighted,date reported,duration,city,state,geocode score,geocode precision,latitude,longitude
20050619,20050624,1 hour, Hillsborough, NJ,0.81,zip,27.9169679,-82.3498148
19710610,19970516,5 minutes, Spokane, WA,0.857,zip,47.6587803,-117.4260466
20020606,20020607,60 seconds, Las Vegas, NV,0.857,zip,36.1749705,-115.137223
20011121,20011121,7-8 sec., Chatham (Canada), ON,0.78,zip,60.0,-96.0
20071030,20071117,8 min, New York City (Brooklyn), NY,0.767,zip,43.0003472,-75.4998978
20091002,20091003,2 hours, Denver, CO,0.857,zip,39.7391536,-104.9847034
20100713,20100714,10 seconds, Lafayette, IN,0.857,zip,30.2240897,-92.0198427
20020323,20020328,5 minutes, Gilbert (ene of), AZ,0.798,zip,33.3528264,-111.789027
20090225,20090225,Few Minutes, Miami Lakes, FL,0.757,zip,6.4530556,3.3958333
20060919,20060921,7 seconds, Bartlett, TN,0.857,zip,35.2045329,-89.8739753
20021201,20030417,7 minutes, Renton/Seattle, WA,0.758,zip,45.55,6.3166667
20030907,20030907,20 secs, Luton (UK/England),,0.765,zip,51.8833333,-0.4166667
19980416,19980512,Bedroom window, Milpitas, CA,0.857,zip,37.4282724,-121.9066238
20040626,20040715,unknown, Rotan, TX,0.738,zip,52.9594444,63.1205556
20071029,20071029,2 minutes, Sioux Falls, SD,0.743,zip,30.3072222,112.2447222
20080410,20080410,20 Sec, Urb La Marina (Spain),,0.75,zip,26.4969444,78.0
20070109,20070124,20-30 sec., El Dorado, KS,0.804,zip,0.5166667,35.2833333
20090831,20090831,5 seconds, Yankeetown, FL,0.757,zip,36.175,127.7763889
20040811,20040811,5 - 7 min, Kirkwood (Saint Louis), MO,0.738,zip,25.5,69.0
19991228,20000628,1 minute, Lakeland, FL,0.857,zip,28.0394654,-81.9498042
19950815,20040815,5 minutes, Aleppo (Syria),,0.792,zip,36.2027778,37.1586111
20060820,20080529,45 min, Bend, OR,0.8,zip,25.4833333,80.3333333
20050628,20050628,1-2 seconds, Stockbridge, GA,0.857,zip,33.5442781,-84.2338093
20031220,20031221,1 hour, Chesterfield, VA,0.81,zip,37.3834825,-77.5997122
20021030,20091209,2 minutes, San Diego, TX,0.732,zip,34.2583333,108.9286111
20040509,20040511,7-10min, Stone Harbor, NJ,0.753,zip,-33.8678499639382,151.207323074341
19600615,20100807,5 minutes, Baltimore, MD,0.8,zip,39.4667728,-76.6496931
20070621,20070621,4 sec, Mainz (Germany),,0.762,zip,-3.101944444,-60.025
20081117,20081117,4 secs, Morongo Valley, CA,0.769,zip,26.6666667,87.5
19980210,19990619,45 sec., Londonderry, NH,0.765,zip,52.0,10.0
20071008,20080713,4 minutes, Eagle (Canada), ON,0.792,zip,60.0,-96.0
20070925,20070925,20 seconds, Baltimore, MD,0.8,zip,39.4667728,-76.6496931
19990617,19990617,60 seconds, Council Bluffs, IA,0.857,zip,41.2619426,-95.8611232
19991111,19991117,3-5 seconds, Meridian Navel Air Station, MS,0.745,zip,34.1983333,72.0458333
20070511,20070528,45+min, Knappa, OR,0.81,zip,38.2971367,-122.2855293
20040107,20040108,15 seconds, El Segundo, CA,0.778,zip,4.9333333,-1.7
20080924,20080925,35 minutes, Lanagan, MO,0.816,zip,50.8833333,5.65
19990715,20050603,evening, West Bend, WI,0.75,zip,25.4833333,80.3333333
20090515,20090518,2 seconds, Loma Rica, CA,0.768,zip,-12.05,-77.05
20100715,20100715,1 sec, Acushnet, MA,0.857,zip,41.6806593,-70.907816
20090421,20090422,30 minutes, Gaithersburg, MD,0.857,zip,39.1434406,-77.2013705
19970720,20050220,3 seconds, Ontario (Canada), ON,0.78,zip,60.0,-96.0
20051030,20051030,15 minutes, Osierfield, GA,0.762,zip,-18.6166667,-48.0833333
20070304,20070304,50-60 minutes, Seattle, WA,0.857,zip,47.6062095,-122.3320708
20070922,20070929,5 Sec, Naco (Mexico), AZ,0.8,zip,23.0,-102.0
20081213,20081229,2 or 3 minutes, Vinton, VA,0.776,zip,34.0922335,-117.435048
20010726,20010728,2-3min, Dearborn Heights, MI,0.79,zip,42.3222599,-83.1763145
19971016,19971016,40 seconds, Hollister, CA,0.857,zip,36.8524545,-121.4016021
20050729,20050729,2 minutes, Miami, FL,0.857,zip,25.7742658,-80.1936589
20050304,20050330,10 min., Plymouth, NH,0.857,zip,50.3715254228346,-4.14304733276367
19980215,19981123,10 min, San Jose, CA,0.735,zip,34.2583333,108.9286111
20040527,20040529,Unknown, Minneapolis, MN,0.857,zip,44.9799654,-93.2638361
20060312,20060314,15 minutes, Augusta, ME,0.857,zip,33.4709702,-81.9748379
19701101,20021206,30 MIN., Rochester, NY,0.857,zip,43.1547845,-77.6155568
20070126,20070126,6 seconds, New York City, NY,0.805,zip,43.0003472,-75.4998978
19980920,19981012,10 sec, Las Vegas, NV,0.857,zip,36.1749705,-115.137223
19670615,20020113,5Min. +, Kent, WA,0.738,zip,60.0,-96.0
20010803,20010816,30 SECONDS, Mt. Baker National Forest, WA,0.741,zip,-6.5897222,106.7913889
19990430,19990430,5 seconds, Findley Lake, NY,0.74,zip,18.1988889,120.5936111
19980307,20060417,30 sec., Malabar, FL,0.786,zip,37.5985468,-122.3871942
20070425,20070426,2-3 hours, Springfield, OR,0.792,zip,-26.25,28.4
20011226,20020102,about 5 mins, Nashville, TN,0.857,zip,36.1658899,-86.7844432
20050904,20050904,2 minutes, Wichita, KS,0.857,zip,37.6922361,-97.3375448
20051219,20051219,2-4 minutes, Birmingham (UK/England),,0.789,zip,52.4666667,-1.9166667
19960307,19960306,45 min., Coral Gables, FL,0.766,zip,41.1591667,27.8
20040319,20040319,20 min, Walkerton, VA,0.778,zip,50.25,4.4166667
20070210,20070211,3 minutes, Lancaster/Freemont, CA,0.798,zip,40.25037,-76.2499519
19860404,20060323,week, Knoxville, TN,0.794,zip,36.1658899,-86.7844432
20020513,20020610,2:00~, Dublin/Radford (RT11 between), VA,0.732,zip,42.407232,12.859178
20081011,20090131,5 minutes, Villa Park/Lombard, IL,0.723,zip,46.7216667,131.1394444
20080510,20080510,1 minute, Chicago, IL,0.857,zip,41.850033,-87.6500523
19990219,19990220,?????, La Crosse, WI,0.75,zip,34.3877778,47.0580556
20030704,20030704,2 minutes approx, Attleboro, MA,0.857,zip,41.9445441,-71.2856082
19651209,20060521,1700hrs, Newtown Square, PA,0.78,zip,42.3370414,-71.2092214
20030503,20030505,3-4 Minutes, Jim Thorpe, PA,0.746,zip,32.7333333,74.8666667
19970622,19980731,10 min, Huffman/Atascacita area, TX,0.735,zip,25.5666667,84.6666667
19980422,19980513,3 seconds, Federal Way (3 miles north of), WA,0.727,zip,7.7,28.0
20070929,20071005,2 mins, Lihue, HI,0.771,zip,33.5716667,114.0352778
20011201,20011201,30 secs, Big Spring, TX,0.73,zip,40.3952778,49.8822222
20041017,20050103,5 - 10 minutes, San Antonio, TX,0.743,zip,34.2583333,108.9286111
19951017,19951017,, Miami, FL,0.857,zip,25.7742658,-80.1936589
20060226,20060227,, Toronto (Canada), ON,0.78,zip,60.0,-96.0
